Shoulders,Posture,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
Sigh,Tone,Paralanguage,NonVerbalCommunication,Delivery,,
SignPost,TransitionComponent,StructureComponent,Structure,,,
Silence,Paralanguage,NonVerbalCommunication,Delivery,,,
Simile,RhetoricalDevice,VerbalCommunication,Delivery,,,
Skeleton,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Slide,VisualAidArtefact,VisualAid,,,,
SlideChanger,DigitalPointer,Pointer,VisualAidDevice,VisualAid,,
Slideshow,VisualAidArtefact,VisualAid,,,,
Smile,FacialExpression,Gesture,BodyMotion,BodyLangugebodylanguage,NonVerbalCommunication,Delivery
Smiling,FacialExpression,Gesture,BodyMotion,BodyLangugebodylanguage,NonVerbalCommunication,Delivery
SocialDistance,Proxemic,NonVerbalCommunication,Delivery,,,
Song,Music,Audio,VisualAidArtefact,VisualAid,,
Sound,Audio,VisualAidArtefact,VisualAid,,,
SpeakerAppearance,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,
SpeakerAura,Delivery,,,,,
SpeakerEmotion,Delivery,,,,,
SpeakerFeeling,Delivery,,,,,
SpeakerIntroduction,OpeningComponent,StructureComponent,Structure,,,
Speech,LanguageElement,VerbalCommunication,Delivery,,,
Speed,Paralanguage,NonVerbalCommunication,Delivery,,,
StageFear,SpeakerEmotion,Delivery,,,,
Stand,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,
Standing,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,,
Start,StructureComponent,Structure,,,,
StartingPoint,StructureComponent,Structure,,,,
Static,Proxemic,NonVerbalCommunication,Delivery,,,
Statistic,Analysis,BodyComponent,StructureComponent,Structure,,
Stature,SpeakerAppearance,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
Story,StructureApproach,Structure,,,,
Storyline,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
Strategy,Structure,,,,,
Stress,SpeakerEmotion,Delivery,,,,
StroyTelling,StructureApproach,Structure,,,,
Structure,,,,,,
StructureApproach,Structure,,,,,
StructureComponent,Structure,,,,,
Subheading,Text,VisualAidArtefact,VisualAid,,,
Suit,SpeakerAppearance,BodyPosition,BodyLangugebodylanguage,NonVerbalCommunication,Delivery,
Summarise,ClosingComponent,StructureComponent,Structure,,,
Summarize,ClosingComponent,StructureComponent,Structure,,,
Summary,ClosingComponent,StructureComponent,Structure,,,
Superlative,RhetoricalDevice,VerbalCommunication,Delivery,,,
Syntax,LanguageElement,VerbalCommunication,Delivery,,,
Tablet,Computer,VisualAidDevice,VisualAid,,,
Tactic,StructureApproach,Structure,,,,
TakeHomeMessage,Conclusion,ClosingComponent,StructureComponent,Structure,,
